State,Started on,Completed,Time taken,Grade/16.00,Q. 1 /1.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /1.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /1.00,Q. 8 /1.00,Q. 9 /1.00,Q. 10 /1.00,Q. 11 /1.00,Q. 12 /1.00,Q. 13 /1.00,Q. 14 /1.00,Q. 15 /1.00,Q. 16 /1.00
Finished,15 October 2021  7:24 PM,15 October 2021  8:22 PM,58 mins 24 secs,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finished,15 October 2021  7:32 PM,15 October 2021  7:58 PM,26 mins 1 sec,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finished,15 October 2021  7:36 PM,15 October 2021  7:57 PM,20 mins 47 secs,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finished,15 October 2021  8:02 PM,15 October 2021  8:22 PM,19 mins 54 secs,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finished,15 October 2021  8:04 PM,15 October 2021  8:25 PM,21 mins 11 secs,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finished,15 October 2021  8:06 PM,15 October 2021  8:24 PM,17 mins 48 secs,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finished,15 October 2021  7:01 PM,15 October 2021  8:02 PM,1 hour 1 min,15.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finished,15 October 2021  8:08 PM,15 October 2021  8:32 PM,24 mins 15 secs,15.75,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1
Finished,15 October 2021  7:58 PM,15 October 2021  8:20 PM,22 mins 19 secs,15.67,0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finished,15 October 2021  7:44 PM,15 October 2021  8:00 PM,16 mins 17 secs,15.33,1,1,1,1,1,1,1,1,1,1,0.67,0.67,1,1,1,1
Finished,15 October 2021  7:34 PM,15 October 2021  8:06 PM,32 mins 11 secs,15.17,1,1,1,1,1,1,1,1,1,1,1,0.17,1,1,1,1
